"eta","max_depth","min_child_weight","subsample","colsample_bytree","avg_brier","avg_accuracy","avg_upset_recall","beats_naive"
0.003,2,15,0.6,0.7,0.1872,0.712,0.401,10
0.008,2,15,0.6,0.7,0.1873,0.715,0.405,10
0.005,3,15,0.6,0.7,0.1873,0.727,0.428,10
0.003,2,10,0.7,0.5,0.1874,0.723,0.409,10
0.005,2,10,0.7,0.5,0.1874,0.714,0.405,10
0.003,2,10,0.6,0.7,0.1874,0.714,0.385,10
0.005,2,15,0.6,0.7,0.1874,0.715,0.411,10
0.005,2,8,0.7,0.5,0.1875,0.714,0.38,10
0.003,2,8,0.7,0.5,0.1876,0.72,0.385,10
0.003,3,8,0.7,0.5,0.1876,0.72,0.408,10
0.008,3,15,0.7,0.5,0.1876,0.714,0.389,10
0.005,3,15,0.6,0.6,0.1876,0.714,0.422,10
0.005,3,8,0.7,0.5,0.1877,0.725,0.414,10
0.01,3,15,0.6,0.6,0.1877,0.725,0.423,10
0.008,2,8,0.5,0.7,0.1877,0.711,0.406,10
0.01,2,15,0.6,0.6,0.188,0.72,0.407,10
0.008,3,15,0.6,0.7,0.188,0.717,0.408,10
0.01,2,8,0.5,0.7,0.1881,0.706,0.401,10
0.01,3,15,0.6,0.7,0.1881,0.715,0.413,10
0.01,3,15,0.7,0.5,0.1882,0.723,0.409,10
0.003,3,15,0.6,0.7,0.1882,0.722,0.408,10
0.01,2,15,0.7,0.5,0.1883,0.711,0.397,10
0.005,3,15,0.7,0.5,0.1883,0.709,0.395,10
0.01,2,15,0.6,0.7,0.1883,0.709,0.4,10
0.005,3,8,0.5,0.6,0.1884,0.73,0.448,10
0.003,3,15,0.6,0.6,0.1884,0.717,0.428,10
0.005,2,15,0.7,0.5,0.1886,0.711,0.387,10
0.005,2,15,0.6,0.6,0.1886,0.704,0.388,10
0.003,3,15,0.7,0.5,0.1887,0.712,0.391,10
0.003,3,8,0.5,0.6,0.1888,0.736,0.431,10
0.003,2,10,0.6,0.5,0.1889,0.708,0.398,10
0.005,2,10,0.6,0.7,0.189,0.719,0.397,10
0.005,2,10,0.6,0.5,0.1891,0.704,0.391,10
0.01,3,10,0.6,0.5,0.1891,0.706,0.398,10
0.003,2,15,0.6,0.6,0.1892,0.709,0.416,10
0.008,2,15,0.6,0.6,0.1892,0.709,0.387,10
0.005,2,8,0.5,0.7,0.1892,0.711,0.4,10
0.008,2,10,0.6,0.7,0.1893,0.715,0.397,10
0.005,3,10,0.6,0.5,0.1894,0.715,0.381,10
0.008,2,15,0.7,0.5,0.1894,0.708,0.4,10
0.008,3,8,0.5,0.6,0.1894,0.723,0.439,10
0.01,2,10,0.6,0.7,0.1894,0.72,0.412,10
0.01,3,8,0.5,0.6,0.1896,0.722,0.438,10
0.003,2,10,0.6,0.6,0.1896,0.714,0.405,10
0.003,2,15,0.7,0.5,0.1897,0.709,0.39,10
0.005,2,10,0.6,0.6,0.1897,0.715,0.412,10
0.008,3,15,0.6,0.6,0.1899,0.703,0.407,10
