"hSeedTeam","lSeedTeam","hSeed","lSeed","CURRENT ROUND","hSeed_won","year","Pred_Prob","Pred_Win","Correct","Actual_Result"
"Marquette","Murray St.",5,12,64,0,2019,0.2998,0,1,"Upset"
"Florida St.","Vermont",4,13,64,1,2019,0.9641,1,1,"Favored Won"
"Buffalo","Arizona St.",6,11,64,1,2019,0.8147,1,1,"Favored Won"
"Texas Tech","Northern Kentucky",3,14,64,1,2019,0.9507,1,1,"Favored Won"
"Nevada","Florida",7,10,64,0,2019,0.1949,0,1,"Upset"
"Michigan","Montana",2,15,64,1,2019,0.9591,1,1,"Favored Won"
"Virginia","Gardner Webb",1,16,64,1,2019,0.7479,1,1,"Favored Won"
"Mississippi","Oklahoma",8,9,64,0,2019,0.3799,0,1,"Upset"
"Wisconsin","Oregon",5,12,64,0,2019,0.5874,1,0,"Upset"
"Kansas St.","UC Irvine",4,13,64,0,2019,0.9185,1,0,"Upset"
"Villanova","Saint Mary's",6,11,64,1,2019,0.8094,1,1,"Favored Won"
"Purdue","Old Dominion",3,14,64,1,2019,0.8713,1,1,"Favored Won"
"Cincinnati","Iowa",7,10,64,0,2019,0.3773,0,1,"Upset"
"Tennessee","Colgate",2,15,64,1,2019,0.9288,1,1,"Favored Won"
"North Carolina","Iona",1,16,64,1,2019,0.9503,1,1,"Favored Won"
"Utah St.","Washington",8,9,64,0,2019,0.2209,0,1,"Upset"
"Auburn","New Mexico St.",5,12,64,1,2019,0.9146,1,1,"Favored Won"
"Kansas","Northeastern",4,13,64,1,2019,0.9486,1,1,"Favored Won"
"Iowa St.","Ohio St.",6,11,64,0,2019,0.7646,1,0,"Upset"
"Houston","Georgia St.",3,14,64,1,2019,0.8255,1,1,"Favored Won"
"Wofford","Seton Hall",7,10,64,1,2019,0.8052,1,1,"Favored Won"
"Kentucky","Abilene Christian",2,15,64,1,2019,0.9567,1,1,"Favored Won"
"Duke","UCF",1,9,32,1,2019,0.9617,1,1,"Favored Won"
"Virginia Tech","Liberty",4,12,32,1,2019,0.765,1,1,"Favored Won"
"LSU","Maryland",3,6,32,1,2019,0.4648,0,0,"Favored Won"
"Michigan St.","Minnesota",2,10,32,1,2019,0.9323,1,1,"Favored Won"
"Gonzaga","Baylor",1,9,32,1,2019,0.8794,1,1,"Favored Won"
"Florida St.","Murray St.",4,12,32,1,2019,0.9429,1,1,"Favored Won"
"Texas Tech","Buffalo",3,6,32,1,2019,0.8425,1,1,"Favored Won"
"Michigan","Florida",2,10,32,1,2019,0.8891,1,1,"Favored Won"
"Virginia ","Oklahoma",1,9,32,1,2019,0.6191,1,1,"Favored Won"
"Oregon","UC Irvine",12,13,32,1,2019,0.854,1,1,"Favored Won"
"Purdue","Villanova",3,6,32,1,2019,0.5722,1,1,"Favored Won"
"Tennessee","Iowa",2,10,32,1,2019,0.8843,1,1,"Favored Won"
"North Carolina","Washington",1,9,32,1,2019,0.9375,1,1,"Favored Won"
"Kansas","Auburn",4,5,32,0,2019,0.8004,1,0,"Upset"
"Houston","Ohio St.",3,11,32,1,2019,0.8367,1,1,"Favored Won"
"Kentucky","Wofford",2,7,32,1,2019,0.9073,1,1,"Favored Won"
"Duke","Virginia Tech",1,4,16,1,2019,0.9111,1,1,"Favored Won"
"Michigan St.","LSU",2,3,16,1,2019,0.9273,1,1,"Favored Won"
"Gonzaga","Florida St.",1,4,16,1,2019,0.7253,1,1,"Favored Won"
"Michigan","Texas Tech",2,3,16,0,2019,0.8308,1,0,"Upset"
"Virginia ","Oregon",1,12,16,1,2019,0.5726,1,1,"Favored Won"
"Tennessee","Purdue",2,3,16,0,2019,0.7055,1,0,"Upset"
"North Carolina","Auburn",1,5,16,0,2019,0.8745,1,0,"Upset"
"Kentucky","Houston",2,3,16,1,2019,0.8545,1,1,"Favored Won"
"Duke","Michigan St.",1,2,8,0,2019,0.2373,0,1,"Upset"
"Gonzaga","Texas Tech",1,3,8,0,2019,0.7574,1,0,"Upset"
"Virginia ","Purdue",1,3,8,1,2019,0.7013,1,1,"Favored Won"
"Kentucky","Auburn",2,5,8,0,2019,0.8229,1,0,"Upset"
"Michigan St.","Texas Tech",2,3,4,0,2019,0.8986,1,0,"Upset"
"Virginia ","Auburn",1,5,4,1,2019,0.6692,1,1,"Favored Won"
"Virginia ","Texas Tech",1,3,2,1,2019,0.7049,1,1,"Favored Won"
"Virginia","UMBC",1,16,64,0,2018,0.8335,1,0,"Upset"
"Creighton","Kansas St.",8,9,64,0,2018,0.4738,0,1,"Upset"
"Kentucky","Davidson",5,12,64,1,2018,0.8164,1,1,"Favored Won"
"Arizona","Buffalo",4,13,64,0,2018,0.6315,1,0,"Upset"
"Miami FL","Loyola Chicago",6,11,64,0,2018,0.5972,1,0,"Upset"
"Tennessee","Wright St.",3,14,64,1,2018,0.8978,1,1,"Favored Won"
"Nevada","Texas",7,10,64,1,2018,0.7888,1,1,"Favored Won"
"Cincinnati","Georgia St.",2,15,64,1,2018,0.7561,1,1,"Favored Won"
"Xavier","Texas Southern",1,16,64,1,2018,0.948,1,1,"Favored Won"
"Missouri","Florida St.",8,9,64,0,2018,0.0939,0,1,"Upset"
"Ohio St.","South Dakota St.",5,12,64,1,2018,0.7766,1,1,"Favored Won"
"Gonzaga","UNC Greensboro",4,13,64,1,2018,0.9324,1,1,"Favored Won"
"Houston","San Diego St.",6,11,64,1,2018,0.3111,0,0,"Favored Won"
"Michigan","Montana",3,14,64,1,2018,0.9478,1,1,"Favored Won"
"Texas A&M","Providence",7,10,64,1,2018,0.7304,1,1,"Favored Won"
"North Carolina","Lipscomb",2,15,64,1,2018,0.9526,1,1,"Favored Won"
"Villanova","Radford",1,16,64,1,2018,0.948,1,1,"Favored Won"
"Virginia Tech","Alabama",8,9,64,0,2018,0.5104,0,1,"Upset"
"West Virginia","Murray St.",5,12,64,1,2018,0.8102,1,1,"Favored Won"
"Wichita St.","Marshall",4,13,64,0,2018,0.8196,1,0,"Upset"
"Florida","St. Bonaventure",6,11,64,1,2018,0.8913,1,1,"Favored Won"
"Texas Tech","Stephen F. Austin",3,14,64,1,2018,0.9482,1,1,"Favored Won"
"Arkansas","Butler",7,10,64,0,2018,0.1393,0,1,"Upset"
"Purdue","Cal St. Fullerton",2,15,64,1,2018,0.9158,1,1,"Favored Won"
"Kansas","Penn",1,16,64,1,2018,0.939,1,1,"Favored Won"
"Seton Hall","North Carolina St.",8,9,64,1,2018,0.227,0,0,"Favored Won"
"Clemson","New Mexico St.",5,12,64,1,2018,0.3671,0,0,"Favored Won"
"Auburn","College of Charleston",4,13,64,1,2018,0.8668,1,1,"Favored Won"
"TCU","Syracuse",6,11,64,0,2018,0.3027,0,1,"Upset"
"Michigan St.","Bucknell",3,14,64,1,2018,0.9602,1,1,"Favored Won"
"Rhode Island","Oklahoma",7,10,64,1,2018,0.1948,0,0,"Favored Won"
"Duke","Iona",2,15,64,1,2018,0.9491,1,1,"Favored Won"
"Kansas St.","UMBC",9,16,32,1,2018,0.9266,1,1,"Favored Won"
"Kentucky","Buffalo",5,13,32,1,2018,0.94,1,1,"Favored Won"
"Tennessee","Loyola Chicago",3,11,32,0,2018,0.3193,0,1,"Upset"
"Cincinnati","Nevada",2,7,32,0,2018,0.3151,0,1,"Upset"
"Xavier","Florida St.",1,9,32,0,2018,0.9083,1,0,"Upset"
"Gonzaga","Ohio St.",4,5,32,1,2018,0.7954,1,1,"Favored Won"
"Michigan","Houston",3,6,32,1,2018,0.882,1,1,"Favored Won"
"North Carolina","Texas A&M",2,7,32,0,2018,0.9007,1,0,"Upset"
"Villanova","Alabama",1,9,32,1,2018,0.9492,1,1,"Favored Won"
"West Virginia","Marshall",5,13,32,1,2018,0.9107,1,1,"Favored Won"
"Texas Tech","Florida",3,6,32,1,2018,0.2664,0,0,"Favored Won"
"Purdue","Butler",2,10,32,1,2018,0.6315,1,1,"Favored Won"
"Kansas","Seton Hall",1,8,32,1,2018,0.9133,1,1,"Favored Won"
"Auburn","Clemson",4,5,32,0,2018,0.5359,0,1,"Upset"
"Michigan St.","Syracuse",3,11,32,0,2018,0.9342,1,0,"Upset"
"Duke","Rhode Island",2,7,32,1,2018,0.9427,1,1,"Favored Won"
"Kentucky","Kansas St.",5,9,16,0,2018,0.6048,1,0,"Upset"
"Nevada","Loyola Chicago",7,11,16,0,2018,0.2337,0,1,"Upset"
"Gonzaga","Florida St.",4,9,16,0,2018,0.8469,1,0,"Upset"
"Michigan","Texas A&M",3,7,16,1,2018,0.8773,1,1,"Favored Won"
"Villanova","West Virginia",1,5,16,1,2018,0.9401,1,1,"Favored Won"
"Purdue","Texas Tech",2,3,16,0,2018,0.5293,0,1,"Upset"
"Kansas","Clemson",1,5,16,1,2018,0.9169,1,1,"Favored Won"
"Duke","Syracuse",2,11,16,1,2018,0.8547,1,1,"Favored Won"
"Kansas St.","Loyola Chicago",9,11,8,0,2018,0.3055,0,1,"Upset"
