"hSeedTeam","lSeedTeam","hSeed","lSeed","CURRENT ROUND","hSeed_won","year","Pred_Prob","Pred_Win","Correct","Actual_Result"
"Villanova","Oklahoma",2,2,4,1,2016,0.7613,1,1,"Favored Won"
"North Carolina","Syracuse",1,10,4,1,2016,0.9026,1,1,"Favored Won"
"North Carolina","Villanova",1,2,2,0,2016,0.6487,1,0,"Upset"
"Kentucky","Hampton",1,16,64,1,2015,0.6952,1,1,"Favored Won"
"Cincinnati","Purdue",8,9,64,1,2015,0.3562,0,0,"Favored Won"
"West Virginia","Buffalo",5,12,64,1,2015,0.8889,1,1,"Favored Won"
"Maryland","Valparaiso",4,13,64,1,2015,0.8943,1,1,"Favored Won"
"Butler","Texas",6,11,64,1,2015,0.4839,0,0,"Favored Won"
"Notre Dame","Northeastern",3,14,64,1,2015,0.9414,1,1,"Favored Won"
"Wichita St.","Indiana",7,10,64,1,2015,0.7685,1,1,"Favored Won"
"Kansas","New Mexico St.",2,15,64,1,2015,0.9316,1,1,"Favored Won"
"Wisconsin","Coastal Carolina",1,16,64,1,2015,0.9383,1,1,"Favored Won"
"Oregon","Oklahoma St.",8,9,64,1,2015,0.7224,1,1,"Favored Won"
"Arkansas","Wofford",5,12,64,1,2015,0.7078,1,1,"Favored Won"
"North Carolina","Harvard",4,13,64,1,2015,0.964,1,1,"Favored Won"
"Xavier","Mississippi",6,11,64,1,2015,0.64,1,1,"Favored Won"
"Baylor","Georgia St.",3,14,64,0,2015,0.9049,1,0,"Upset"
"VCU","Ohio St.",7,10,64,0,2015,0.6158,1,0,"Upset"
"Arizona","Texas Southern",2,15,64,1,2015,0.9139,1,1,"Favored Won"
"Villanova","Lafayette",1,16,64,1,2015,0.9276,1,1,"Favored Won"
"North Carolina St.","LSU",8,9,64,1,2015,0.6347,1,1,"Favored Won"
"Northern Iowa","Wyoming",5,12,64,1,2015,0.8368,1,1,"Favored Won"
"Louisville","UC Irvine",4,13,64,1,2015,0.9591,1,1,"Favored Won"
"Providence","Dayton",6,11,64,0,2015,0.2032,0,1,"Upset"
"Oklahoma","Albany",3,14,64,1,2015,0.9652,1,1,"Favored Won"
"Michigan St.","Georgia",7,10,64,1,2015,0.7336,1,1,"Favored Won"
"Virginia","Belmont",2,15,64,1,2015,0.7901,1,1,"Favored Won"
"Duke","Robert Morris",1,16,64,1,2015,0.9296,1,1,"Favored Won"
"San Diego St.","St. John's",8,9,64,1,2015,0.6275,1,1,"Favored Won"
"Utah","Stephen F. Austin",5,12,64,1,2015,0.3867,0,0,"Favored Won"
"Georgetown","Eastern Washington",4,13,64,1,2015,0.7869,1,1,"Favored Won"
"SMU","UCLA",6,11,64,0,2015,0.1777,0,1,"Upset"
"Iowa St.","UAB",3,14,64,0,2015,0.837,1,0,"Upset"
"Iowa","Davidson",7,10,64,1,2015,0.3582,0,0,"Favored Won"
"Gonzaga","North Dakota St.",2,15,64,1,2015,0.9598,1,1,"Favored Won"
"Kentucky","Cincinnati",1,8,32,1,2015,0.8606,1,1,"Favored Won"
"Maryland","West Virginia",4,5,32,0,2015,0.6641,1,0,"Upset"
"Notre Dame","Butler",3,6,32,1,2015,0.5038,0,0,"Favored Won"
"Kansas","Wichita St.",2,7,32,0,2015,0.8522,1,0,"Upset"
"Wisconsin","Oregon",1,8,32,1,2015,0.8352,1,1,"Favored Won"
"North Carolina","Arkansas",4,5,32,1,2015,0.8411,1,1,"Favored Won"
"Xavier","Georgia St.",6,14,32,1,2015,0.8691,1,1,"Favored Won"
"Arizona","Ohio St.",2,10,32,1,2015,0.8845,1,1,"Favored Won"
"Villanova","North Carolina St.",1,8,32,0,2015,0.9441,1,0,"Upset"
"Louisville","Northern Iowa",4,5,32,1,2015,0.5527,1,1,"Favored Won"
"Oklahoma","Dayton",3,11,32,1,2015,0.5791,1,1,"Favored Won"
"Virginia","Michigan St.",2,7,32,0,2015,0.4481,0,1,"Upset"
"Duke","San Diego St.",1,8,32,1,2015,0.9536,1,1,"Favored Won"
"Georgetown","Utah",4,5,32,0,2015,0.2257,0,1,"Upset"
"UCLA","UAB",11,14,32,1,2015,0.9483,1,1,"Favored Won"
"Gonzaga","Iowa",2,7,32,1,2015,0.8459,1,1,"Favored Won"
"Kentucky","West Virginia",1,5,16,1,2015,0.9087,1,1,"Favored Won"
"Notre Dame","Wichita St.",3,7,16,1,2015,0.7698,1,1,"Favored Won"
"Wisconsin","North Carolina",1,4,16,1,2015,0.5458,0,0,"Favored Won"
"Arizona","Xavier",2,6,16,1,2015,0.6068,1,1,"Favored Won"
"Louisville","North Carolina St.",4,8,16,1,2015,0.656,1,1,"Favored Won"
"Oklahoma","Michigan St.",3,7,16,0,2015,0.2311,0,1,"Upset"
"Duke","Utah",1,5,16,1,2015,0.9467,1,1,"Favored Won"
"Gonzaga","UCLA",2,11,16,1,2015,0.8566,1,1,"Favored Won"
"Kentucky","Notre Dame",1,3,8,1,2015,0.8434,1,1,"Favored Won"
"Wisconsin","Arizona",1,2,8,1,2015,0.8115,1,1,"Favored Won"
"Louisville","Michigan St.",4,7,8,0,2015,0.1705,0,1,"Upset"
"Duke","Gonzaga",1,2,8,1,2015,0.4571,0,0,"Favored Won"
"Kentucky","Wisconsin",1,1,4,0,2015,0.6156,1,0,"Upset"
"Duke","Michigan St.",1,7,4,1,2015,0.7209,1,1,"Favored Won"
"Wisconsin","Duke",1,1,2,0,2015,0.3613,0,1,"Upset"
